[1.1 Op huizenjacht - op zoek naar een woning]
het appartement|Afzonderlijke woning in een groter gebouw.|Ik woon liever in een appartement dan in een huis.
bezichtigen|Iets gaan bekijken.|Ik heb vandaag twee appartementen bezichtigd.
het raam|Constructie in de muur van een ruimte om licht door te laten gevuld met een plaat doorzichtig materiaal zoals glas; venster.|We slapen altijd met het raam open.
de advertentie|Aankondiging in een krant, reclameblad of tijdschrift bedoeld om personen over te halen iets te kopen.|k zag vandaag een interessante advertentie in de krant.
de kamer|Afgescheiden deel van een woning.|Ik huur een gemeubileerde kamer in de stad.
renoveren|Opknappen; vernieuwen; repareren.|We zouden ons huis graag laten renoveren.
het gebouw|Een op de grond gebouwde constructie van enige omvang waarin gewoond of gewerkt kan worden.|In die stad staan veel moderne gebouwen.
veilig|Niet gevaarlijk.|We wonen in een veilige buurt.

[2.1 Een huis kopen via een makelaar]
het platteland|Het rurale gebied buiten de steden.|Ik zou nooit op het platteland kunnen wonen.
omliggend|Rondom.|De omliggende bossen zijn prachtig.
de keuken|Plaats waar gekookt wordt, een ruimte waarin mensen hun voedsel bereiden.|'s Morgens ontbijt ik in de keuken.
het uitzicht|Wat je van de omgeving vanaf een bepaalde plek kan zien.|Vanaf de bovenste verdieping heb je een prachtig uitzicht op de stad.
op zoek zijn naar|Iets willen vinden.|Ik ben op zoek naar mijn droomhuis.
de tuin|Een omheind stuk grond rond, achter en/of voor het huis.|Mijn vriend heeft een grote tuin achter zijn huis.
aanbieden|Iets tegen bepaalde voorwaarden of prijs verhandelbaar stellen.|Op deze website worden veel huizen te koop aangeboden.
de logeerkamer|Slaapkamer voor gasten.|Wij hebben een logeerkamer, zodat onze vrienden kunnen blijven slapen als ze bij ons op bezoek komen.
de bovenverdieping|Niet op de begane grond, maar daarboven.|Hij huurt een flat op de bovenverdieping van dat gebouw.
de slaapkamer|Kamer bedoeld om in te slapen.|Je moet je slaapkamer dringend opruimen!
ingebouwd|Geïntegreerd in de muur.|Het huis bevat veel ingebouwde kasten.
de bergruimte|Plaats waar je iets kan bewaren.|Het is een praktische flat met veel bergruimtes.
stijlvol|Elegant; modieus; met klasse.|Het huis dat ze gekocht hebben, is stijlvol.
de kamer|Afgescheiden deel van een woning.|Ik huur een gemeubileerde kamer in de stad.
opbergen|Op een veilige plaats bewaren.|Ik heb alvast alle boeken in grote dozen opgeborgen.
het dak|Deel dat een gebouw aan de bovenkant bedekt en bescherming biedt tegen het weer.|Het dak moet dringend gerepareerd worden.
weggooien|Iets wegdoen omdat je het niet meer wilt hebben.|Ze heeft al zijn spullen weggegooid.
de kast|Meubel om gebruiksvoorwerpen in op te bergen, meestal voorzien van horizontale schappen.|Die kast is veel te modern voor ons interieur, vind je niet?
bezichtigen|Iets gaan bekijken.|Ik heb vandaag twee appartementen bezichtigd.
de kelder|Ondergrondse bergruimte.|De kelder staat vol met spullen die we niet nodig hebben.
de zolder|Ruimte onder het dak.|Ze hebben de zolder ingericht als logeerkamer.
de buurt|Deel van een stad of dorp; wijk.|Er gaan veel jonge gezinnen in die nieuwe buurt wonen.
de woonkamer|Kamer die ingericht is om in te wonen.|Onze woonkamer is heel licht met dat grote raam.
de overloop|Gang op een bovenverdieping.|Op de overloop is soms net genoeg plaats om een kast te zetten.
weids|Groots, ruim.|Vanaf het terras hadden we een weids uitzicht op de omgeving.
licht|Niet donker.|Onze woonkamer is heel licht met dat grote raam.
de spullen|Het toebehoren van iemand; dingen.|Ruim je spullen op!
ruim|Groot.|Het appartement bestaat uit drie ruime kamers.
de badkamer|Kamer waar je je kunt wassen en verzorgen.|Er is een badkamer op elke verdieping van het huis.
uitstekend|Heel erg goed.|Hij heeft goed gestudeerd; zijn rapport was dan ook uitstekend!
inrichten|Ruimte geschikt maken voor bewoning met vloerbedekking, behang, huisraad, enz.|Ze heeft het appartement helemaal opnieuw ingericht.
de advertentie|Aankondiging in een krant, reclameblad of tijdschrift bedoeld om personen over te halen iets te kopen.|Ik zag vandaag een interessante advertentie in de krant.

[3.1 Samenwonen - zich klaarmaken]
opstaan|Uit bed komen.|Ik ben vanmorgen heel erg vroeg opgestaan.
helpen|Iemand bijstaan.|Ik zal je een handje helpen.
klagen over|Zeggen dat je niet tevreden, niet blij bent met iets of iemand.|Mensen klagen vaak over het weer.
uitslapen|Slapen tot je zonder wekker wakker wordt.|In het weekend wil ik uitslapen.
op slot|Met de sleutel gesloten.|Waarom doe je de deur op slot?
klaar|Af, gereed.|Het eten is zo klaar.
spijbelen|Wegblijven van school zonder toestemming; niet naar school terwijl dat wel zou moeten.|Ik heb vaak gespijbeld, omdat ik de lessen op school niet interessant vond.
open|Niet dicht.|Kom maar binnen, de deur is open.
de slordigheid|Zonder de nodige zorg; zonder orde.|Ik ben je slordigheid beu.
zich wassen|Zichzelf met water reinigen.|Hij wast zich altijd met koud water.
laat|Niet vroeg.|Het is al laat, ik wil graag naar huis gaan.
treuzelen|Dingen te langzaam doen.|'s Morgens treuzelt ze altijd.
het huishouden|Dagelijkse taken in het huis.|Zij doet het huishouden niet graag.
de deur|Afsluiting van een toegang tot een ruimte, die is gemaakt van hout, metaal of kunststof.|Waarom laat je altijd alle deuren openstaan?
eerlijk|Fair.|Ik vind het niet eerlijk dat ze die wielrenner hebben gediskwalificeerd.
de badkamer|Kamer waar je je kunt wassen en verzorgen.|Er is een badkamer op elke verdieping van het huis.

[3.2 Samenwonen - samen het huishouden doen]
koken|Eten klaarmaken.|Het is meestal mijn man die kookt.
helpen|Iemand bijstaan.|Ik zal je een handje helpen.
boodschappen doen|Etenswaren en andere benodigdheden die in de winkel gehaald moeten worden, kopen.|Zullen we morgen samen boodschappen doen?
het appartement|Afzonderlijke woning in een groter gebouw.|Ik woon liever in een appartement dan in een huis.
opstapelen|Op elkaar zetten.|Je mag die glazen niet opstapelen.
de keuken|Plek in een woning waar wordt gekookt.|Ze hebben een nieuwe keuken geïnstalleerd.
de flat|Afzonderlijke woning in een groter gebouw; appartement.|Zij wonen in een grote, moderne flat in de stad.
de gast|Iemand die is uitgenodigd.|We hebben gasten vanavond.
afruimen|Na het eten het serviesgoed van tafel verwijderen.|Vandaag is het jouw beurt om de tafel af te ruimen.
stofzuigen|Verwijderen van stof door te zuigen met een elektrisch apparaat.|Ik ga vandaag de slaapkamers stofzuigen.
de plaats|Ruimte.|In deze kamer is echt geen plaats meer voor een tweede bed.
de honger|Behoefte aan eten hebben.|Wanneer gaan we eten? Ik heb honger.
de lunch|Middagmaal.|Ik heb met een vriendin afgesproken voor de lunch.
de troep|Rommelige of vieze boel; wanorde; rommel; rotzooi.|Wil je alsjeblieft die troep opruimen?
de trap|Verbinding tussen twee verdiepingen, bestaande uit een reeks treden die zich boven elkaar bevinden.|Pas op, het is een steile trap.
het bezoek|Het naar iemand toe gaan.|Zijn bezoek heeft ons veel plezier gedaan.
rekenen op|Erop kunnen vertrouwen dat iemand er altijd is om te helpen.|Op hem kan je altijd rekenen.
de afwas|Servies dat vies is; de vaat.|Laten we allemaal samen de afwas doen.
de tafel|Meubelstuk met een horizontaal blad en één of meer poten bedoeld om iets op te zetten of om aan te eten.|Laten we aan tafel gaan.
opruimen|Ordenen, alles een plaats geven.|De kinderen hebben geen zin om hun kamer op te ruimen.
de spoelbak|Een bak, meestal ingebouwd in een aanrecht, onder een kraan en met een afvoer.|Zet alles maar in de spoelbak.
vies|Vuil, niet schoon.|Ik zal je kleren wassen, ze zijn vies.
de was doen|Kleren schoonmaken in de wasmachine of met de hand.|'s Maandags doe ik de was.

[4.1 In het café]
de frisdrank|Drinken zonder alcohol; in engere zin een koolzuurhoudende limonade, in ruimere zin ook zonder koolzuur.|Ze hebben frisdrank gekocht voor de kinderen.
drinken|Vloeistof tot zich nemen.|Ik heb vandaag te veel koffie gedronken.
het café|Plaats waar je iets kan drinken.|Ik zie hem elke week in het café op de hoek.
de honger|Het gevoel van behoefte aan eten te hebben.|Ik rammel van de honger.
de noot|Eetbare harde boomvrucht.|Ik eet een handvol noten per dag.
de dorst|Behoefte hebben aan drinken.|Als je dorst hebt, moet je drinken.
eten|Nuttigen van voedsel.|Ik eet elke dag vers fruit.
proost|Dit zeg je als je samen met iemand anders iets drinkt.|Proost! Geniet van je biertje!
trakteren|Aanbieden om iets voor iemand anders te betalen.|Lust je misschien een ijsje? Ik trakteer!
de chips|Heel dunne in vet of olie gebakken aardappelschijfjes.|Hij eet te veel chips.
het bier|Alcoholische drank die bereid is uit mout.|De Belgische bieren zijn wereldberoemd.
de zin|Verlangen om iets te doen.|Ik heb zin in een ijsje.

[5.1 Op huizenjacht - op zoek naar een woning (Advanced)]
de eigenaar|Bezitter.|Ik heb vandaag een afspraak met de eigenaar van het appartement.
het stadscentrum|Midden in de stad.|Ik ga in het stadscentrum wonen.
comfortabel|Gerieflijk, aangenaam.|Die nieuwe fauteuil zit heel comfortabel.
het platteland|Het rurale gebied buiten de steden.|Ik zou nooit op het platteland kunnen wonen.
intrekken|Ergens gaan wonen.|Sinds wanneer woon je hier? Wanneer ben je hier ingetrokken?
het contract|Schriftelijk vastgelegde overeenkomst.|Hij moet het contract nog tekenen.
de advertentie|Aankondiging in een krant, reclameblad of tijdschrift bedoeld om personen over te halen iets te kopen.|Ik zag vandaag een interessante advertentie in de krant.
de benedenverdieping|Waar je een woning binnenkomt zonder een trap of lift te moeten nemen; begane grond. In België: gelijkvloers.|Ik ben op zoek naar een appartement op de benedenverdieping.
parkeren|Een voertuig tijdelijk ergens plaatsen en laten staan.|Het is heel moeilijk om te parkeren in onze straat.
licht|Niet donker.|Onze woonkamer is heel licht met dat grote raam.
zoeken|Proberen te vinden.|Ik zoek een goed restaurant voor mijn verjaardagsfeest.
de buitenwijk|Buurt buiten het centrum van de stad.|In de buitenwijk is het rustiger dan in het centrum van de stad.
op zoek zijn naar|Iets willen vinden.|Ik ben op zoek naar mijn droomhuis.
ondertekenen|Handtekening zetten op een papier.|Wilt u hier onderaan ondertekenen, alstublieft?
ver|Niet dichtbij, afgelegen.|Ze is ver van de stad gaan wonen.
de stad|Plaats waar veel gebouwen, mensen en voorzieningen dicht bij elkaar zijn.|Ik woon liever in de stad dan op het platteland.
de huurder|Degene die huurt en daarvoor huur betaalt.|De nieuwe huurders zijn erg sympathieke mensen.
redelijk|Adequaat, acceptabel.|De appartementen in deze buurt zijn heel duur, maar de prijs van dit appartement is heel redelijk.
bezichtigen|Iets gaan bekijken.|Ik heb vandaag twee appartementen bezichtigd.
het appartement|Afzonderlijke woning in een groter gebouw.|Ik woon liever in een appartement dan in een huis.
de huurprijs|Prijs die betaald moet worden aan de eigenaar om de woning te gebruiken.|De huurprijzen in de stad liggen erg hoog.
rustig|Kalm.|We wonen in een rustige buurt.
de flat|Afzonderlijke woning in een groter gebouw; appartement.|Zij wonen in een grote, moderne flat in de stad.
dicht bij|Niet ver.|Hij woont nu dicht bij zijn vrienden.

[5.2 Op huizenjacht - een woning bezichtigen (Advanced)]
het flatgebouw|Gebouw met een aantal woonlagen.|Ik zou niet graag in een flatgebouw wonen.
de benedenverdieping|Waar je een woning binnenkomt zonder een trap of lift te moeten nemen; begane grond; in België: gelijkvloers.|Ik ben op zoek naar een studio op de benedenverdieping.
ruim|Groot.|Het appartement bestaat uit drie ruime kamers.
open|Niet gesloten.|Kom maar binnen, de deur is open.
de prijs|Het bedrag dat betaald moet worden.|Ik ben geschrokken van de prijs die ze voor dat oude huis vragen.
de staat|Toestand, gesteldheid.|De flat die ik vanmorgen bezocht heb, was in bouwvallige staat.
historisch|Op de geschiedenis betrekking hebbend.|Hij heeft een appartement gekocht in een prachtig historisch pand.
de buurt|Deel van een stad of dorp; wijk.|Er gaan veel jonge gezinnen in die nieuwe buurt wonen.
duur|Niet goedkoop, prijzig.|Dit huis is precies wat we zoeken, maar het is veel te duur voor ons.
het appartement|Afzonderlijke woning in een groter gebouw.|Ik woon liever in een appartement dan in een huis.
bezichtigen|Iets gaan bekijken.|Ik heb vandaag twee appartementen bezichtigd.
het raam|Constructie in de muur van een ruimte om licht door te laten gevuld met een plaat doorzichtig materiaal zoals glas; venster.|We slapen altijd met het raam open.
de advertentie|Aankondiging in een krant, reclameblad of tijdschrift bedoeld om personen over te halen iets te kopen.|k zag vandaag een interessante advertentie in de krant.
de kamer|Afgescheiden deel van een woning.|Ik huur een gemeubileerde kamer in de stad.
renoveren|Opknappen; vernieuwen; repareren.|We zouden ons huis graag laten renoveren.
het gebouw|Een op de grond gebouwde constructie van enige omvang waarin gewoond of gewerkt kan worden.|In die stad staan veel moderne gebouwen.
veilig|Niet gevaarlijk.|We wonen in een veilige buurt.

[6.1 Een huis kopen via een makelaar (Advanced)]
het platteland|Het rurale gebied buiten de steden.|Ik zou nooit op het platteland kunnen wonen.
omliggend|Rondom.|De omliggende bossen zijn prachtig.
de keuken|Plaats waar gekookt wordt, een ruimte waarin mensen hun voedsel bereiden.|'s Morgens ontbijt ik in de keuken.
het uitzicht|Wat je van de omgeving vanaf een bepaalde plek kan zien.|Vanaf de bovenste verdieping heb je een prachtig uitzicht op de stad.
op zoek zijn naar|Iets willen vinden.|Ik ben op zoek naar mijn droomhuis.
de tuin|Een omheind stuk grond rond, achter en/of voor het huis.|Mijn vriend heeft een grote tuin achter zijn huis.
aanbieden|Iets tegen bepaalde voorwaarden of prijs verhandelbaar stellen.|Op deze website worden veel huizen te koop aangeboden.
de logeerkamer|Slaapkamer voor gasten.|Wij hebben een logeerkamer, zodat onze vrienden kunnen blijven slapen als ze bij ons op bezoek komen.
de bovenverdieping|Niet op de begane grond, maar daarboven.|Hij huurt een flat op de bovenverdieping van dat gebouw.
de slaapkamer|Kamer bedoeld om in te slapen.|Je moet je slaapkamer dringend opruimen!
ingebouwd|Geïntegreerd in de muur.|Het huis bevat veel ingebouwde kasten.
de bergruimte|Plaats waar je iets kan bewaren.|Het is een praktische flat met veel bergruimtes.
stijlvol|Elegant; modieus; met klasse.|Het huis dat ze gekocht hebben, is stijlvol.
de kamer|Afgescheiden deel van een woning.|Ik huur een gemeubileerde kamer in de stad.
opbergen|Op een veilige plaats bewaren.|Ik heb alvast alle boeken in grote dozen opgeborgen.
het dak|Deel dat een gebouw aan de bovenkant bedekt en bescherming biedt tegen het weer.|Het dak moet dringend gerepareerd worden.
weggooien|Iets wegdoen omdat je het niet meer wilt hebben.|Ze heeft al zijn spullen weggegooid.
de kast|Meubel om gebruiksvoorwerpen in op te bergen, meestal voorzien van horizontale schappen.|Die kast is veel te modern voor ons interieur, vind je niet?
bezichtigen|Iets gaan bekijken.|Ik heb vandaag twee appartementen bezichtigd.
de kelder|Ondergrondse bergruimte.|De kelder staat vol met spullen die we niet nodig hebben.
de zolder|Ruimte onder het dak.|Ze hebben de zolder ingericht als logeerkamer.
de buurt|Deel van een stad of dorp; wijk.|Er gaan veel jonge gezinnen in die nieuwe buurt wonen.
de woonkamer|Kamer die ingericht is om in te wonen.|Onze woonkamer is heel licht met dat grote raam.
de overloop|Gang op een bovenverdieping.|Op de overloop is soms net genoeg plaats om een kast te zetten.
weids|Groots, ruim.|Vanaf het terras hadden we een weids uitzicht op de omgeving.
licht|Niet donker.|Onze woonkamer is heel licht met dat grote raam.
de spullen|Het toebehoren van iemand; dingen.|Ruim je spullen op!
ruim|Groot.|Het appartement bestaat uit drie ruime kamers.
de badkamer|Kamer waar je je kunt wassen en verzorgen.|Er is een badkamer op elke verdieping van het huis.
uitstekend|Heel erg goed.|Hij heeft goed gestudeerd; zijn rapport was dan ook uitstekend!
inrichten|Ruimte geschikt maken voor bewoning met vloerbedekking, behang, huisraad, enz.|Ze heeft het appartement helemaal opnieuw ingericht.
de advertentie|Aankondiging in een krant, reclameblad of tijdschrift bedoeld om personen over te halen iets te kopen.|Ik zag vandaag een interessante advertentie in de krant.

[7.1 Samenwonen - zich klaarmaken (Advanced)]
opstaan|Uit bed komen.|Ik ben vanmorgen heel erg vroeg opgestaan.
helpen|Iemand bijstaan.|Ik zal je een handje helpen.
klagen over|Zeggen dat je niet tevreden, niet blij bent met iets of iemand.|Mensen klagen vaak over het weer.
uitslapen|Slapen tot je zonder wekker wakker wordt.|In het weekend wil ik uitslapen.
op slot|Met de sleutel gesloten.|Waarom doe je de deur op slot?
klaar|Af, gereed.|Het eten is zo klaar.
spijbelen|Wegblijven van school zonder toestemming; niet naar school terwijl dat wel zou moeten.|Ik heb vaak gespijbeld, omdat ik de lessen op school niet interessant vond.
open|Niet dicht.|Kom maar binnen, de deur is open.
de slordigheid|Zonder de nodige zorg; zonder orde.|Ik ben je slordigheid beu.
zich wassen|Zichzelf met water reinigen.|Hij wast zich altijd met koud water.
laat|Niet vroeg.|Het is al laat, ik wil graag naar huis gaan.
treuzelen|Dingen te langzaam doen.|'s Morgens treuzelt ze altijd.
het huishouden|Dagelijkse taken in het huis.|Zij doet het huishouden niet graag.
de deur|Afsluiting van een toegang tot een ruimte, die is gemaakt van hout, metaal of kunststof.|Waarom laat je altijd alle deuren openstaan?
eerlijk|Fair.|Ik vind het niet eerlijk dat ze die wielrenner hebben gediskwalificeerd.
de badkamer|Kamer waar je je kunt wassen en verzorgen.|Er is een badkamer op elke verdieping van het huis.

[7.2 Samenwonen - samen het huishouden doen (Advanced)]
koken|Eten klaarmaken.|Het is meestal mijn man die kookt.
helpen|Iemand bijstaan.|Ik zal je een handje helpen.
boodschappen doen|Etenswaren en andere benodigdheden die in de winkel gehaald moeten worden, kopen.|Zullen we morgen samen boodschappen doen?
het appartement|Afzonderlijke woning in een groter gebouw.|Ik woon liever in een appartement dan in een huis.
opstapelen|Op elkaar zetten.|Je mag die glazen niet opstapelen.
de keuken|Plek in een woning waar wordt gekookt.|Ze hebben een nieuwe keuken geïnstalleerd.
de flat|Afzonderlijke woning in een groter gebouw; appartement.|Zij wonen in een grote, moderne flat in de stad.
de gast|Iemand die is uitgenodigd.|We hebben gasten vanavond.
afruimen|Na het eten het serviesgoed van tafel verwijderen.|Vandaag is het jouw beurt om de tafel af te ruimen.
stofzuigen|Verwijderen van stof door te zuigen met een elektrisch apparaat.|Ik ga vandaag de slaapkamers stofzuigen.
de plaats|Ruimte.|In deze kamer is echt geen plaats meer voor een tweede bed.
de honger|Behoefte aan eten hebben.|Wanneer gaan we eten? Ik heb honger.
de lunch|Middagmaal.|Ik heb met een vriendin afgesproken voor de lunch.
de troep|Rommelige of vieze boel; wanorde; rommel; rotzooi.|Wil je alsjeblieft die troep opruimen?
de trap|Verbinding tussen twee verdiepingen, bestaande uit een reeks treden die zich boven elkaar bevinden.|Pas op, het is een steile trap.
het bezoek|Het naar iemand toe gaan.|Zijn bezoek heeft ons veel plezier gedaan.
rekenen op|Erop kunnen vertrouwen dat iemand er altijd is om te helpen.|Op hem kan je altijd rekenen.
de afwas|Servies dat vies is; de vaat.|Laten we allemaal samen de afwas doen.
de tafel|Meubelstuk met een horizontaal blad en één of meer poten bedoeld om iets op te zetten of om aan te eten.|Laten we aan tafel gaan.
opruimen|Ordenen, alles een plaats geven.|De kinderen hebben geen zin om hun kamer op te ruimen.
de spoelbak|Een bak, meestal ingebouwd in een aanrecht, onder een kraan en met een afvoer.|Zet alles maar in de spoelbak.
vies|Vuil, niet schoon.|Ik zal je kleren wassen, ze zijn vies.
de was doen|Kleren schoonmaken in de wasmachine of met de hand.|'s Maandags doe ik de was.

[8.1 In het café (Advanced)]
de frisdrank|Drinken zonder alcohol; in engere zin een koolzuurhoudende limonade, in ruimere zin ook zonder koolzuur.|Ze hebben frisdrank gekocht voor de kinderen.
drinken|Vloeistof tot zich nemen.|Ik heb vandaag te veel koffie gedronken.
het café|Plaats waar je iets kan drinken.|Ik zie hem elke week in het café op de hoek.
de honger|Het gevoel van behoefte aan eten te hebben.|Ik rammel van de honger.
de noot|Eetbare harde boomvrucht.|Ik eet een handvol noten per dag.
de dorst|Behoefte hebben aan drinken.|Als je dorst hebt, moet je drinken.
eten|Nuttigen van voedsel.|Ik eet elke dag vers fruit.
proost|Dit zeg je als je samen met iemand anders iets drinkt.|Proost! Geniet van je biertje!
trakteren|Aanbieden om iets voor iemand anders te betalen.|Lust je misschien een ijsje? Ik trakteer!
de chips|Heel dunne in vet of olie gebakken aardappelschijfjes.|Hij eet te veel chips.
het bier|Alcoholische drank die bereid is uit mout.|De Belgische bieren zijn wereldberoemd.
de zin|Verlangen om iets te doen.|Ik heb zin in een ijsje.
